nombre_del_estudio,direccion,barrio,telefono,email,instagram,seguidores,puntaje_google,web,fabricantes_ref,diseno,app,resena_destacada,presentacion,servicios_adicionales,horario,codigo_plus,fuente_de_datos,fecha_recoleccion,observaciones,cantidad_resenas,comuna,zona,tiene_instagram,tiene_web,tiene_email,tiene_app,presencia_digital,tiene_telefono,n_canales_contacto,n_fabricantes,fabricante_multiple
Fusión Pilates Palermo,"Agüero 1200, C1425 Cdad. Autónoma de Buenos Aires",Palermo,111560579144.0,,fusionpilatespalermo,1903.0,5.0,,P&P,"Básico, Pelotas de colores y equipos- reformer, cadillac , chair…",,"Fusión Pilates Palermo es realmente excepcional. Por primera vez, he encontrado alivio para mi dolor de ciática gracias a sus maravillosas clases. Cada sesión se personaliza para satisfacer tus necesidades individuales, asegurando que te sientas genial y alcances tus objetivos personales. Silvia y Eli son instructores sobresalientes, y me siento increíblemente afortunada de asistir a sus clases. Como principiante en Pilates, hicieron que la experiencia fuera fácil y agradable, y ahora no puedo imaginar mi vida sin ellas!",-,"Pilates para embarazadas, para adulto mayor, pilates personalizado, Electrodos, masajes.",De lunes a viernes de 8 a. m.–8 p. m.,"CH3R+P3 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",31-07-25,,68.0,14.0,Norte,True,False,False,False,1,True,2,1,False
Glow Pilates Studio,"Mario Bravo 1140, C1175 Cdad. Autónoma de Buenos Aires",Palermo,1125621856.0,,glowpilatesba,561.0,5.0,,Del Río Pilates,"Moderno, tonalidades beige, grises, iluminado, plantas.",,"3 semanas atrás: Es un espacio muy hermoso, re bien cuidado y muy ordenado. Las clases son super dinámicas y entretenidas. El ambiente también es increíble como así sus profesoras.",-,,"De lunes a viernes de 8 a. m.–8 p. m. sábado, 9 a. m.–12 p. m.","CH3M+HQ Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps Instagram,31-07-25,Promocionan camas @del.rio.pilates  Y espejos divinos de @prusiadesign,16.0,14.0,Norte,True,False,False,False,1,True,2,1,False
Tu mundo pilates,"Bulnes 1730, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1157668735.0,,tumundopilates_,3209.0,4.9,,,"Amplio, iluminado, moderno, tonalidades claras en combinación con madera. Plantas decorativas.",ReservaClase,"Hace 3 meses: Hermoso espacio. Atención de recepcionistas muy buena. Excelentes profesoras. Hace 6 meses: Me encanta el lugar! Se organizan muy bien, son muy responsables, hay buenas profes!",-,,"De lunes a viernes: 8 a. m.–12 p. m., 4–9 p. m. sábado, 9 a. m.–12 p. m.","CH5P+C2 Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps intagram,31-07-25,Tiene dos sedes: Sucursal Palermo: Bulnes 1730 caba Sucursal Las Cañitas : Baez 413 caba,60.0,14.0,Norte,True,False,False,True,2,True,2,0,False
Fabiana Tallarico,"Guatemala 4375, 1425 Cdad. Autónoma de Buenos Aires",Palermo,1135233281.0,,fabiana.tallarico,780.0,4.9,,P&P,"Local a la calle, colorido, reformer clásicos, utensilios coloridos.",,"“Te ayudan, te informan, Te cuidan todo el tiempo.""""Es mí primera vez haciendo pilates y la verdad me encantó "". ""Superó mis expectativas, fabi y sus clases son muy lo más""",-,Centro de Pilates Reformer terapéutico,"Lunes a viernes 9 a. m.–1 p. m., 4–9 p. m. sábado, 9 a. m.–1 p. m.","CH6H+GJ Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps int,31-07-25,https://www.facebook.com/Pilates.FabianaTallarico/ ofrecen Master Class!,25.0,14.0,Norte,True,False,False,False,1,True,2,1,False
Plaza Pilates,"Gurruchaga 2207, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1159511109.0,,plaza_pilates,3550.0,4.4,,P&P,"Reformer clásico, paleta de colores malvas, pared verde, espacio pequeño pero bien equipado, pelotas grises, bandas coloridas.",,"Hace 3 años: Pesimo trato, la profesora Natalia ( entiendo que es la dueña, mientras da clase esta permanentemente con el celular). También son muy poco claros al momento de cobrar faltando 4 clases para terminar el mes, te cobran el mes entero sin avisar que si pagaste 8 clases hay 4 que perdes",-,,"Lunes a viernes de 8 a. m.–12 p. m., 5–9 p. m.","CH7G+VQ Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",31-07-25,,32.0,14.0,Norte,True,False,False,False,1,True,2,1,False
Club Palermo Pilates,"Armenia 2294 4 Piso, C1425BQD Cdad. Autónoma de Buenos Aires",Palermo,1155252681.0,,club_palermo_pilates,10400.0,4.9,,P&P,"Amplio, iluminado, paleta de colores verdes y violetas,",Siguefit,Hace 2 meses: El mejor estudio de pilates de palermo y alrededores sin dudas. El lugar es hiper agradable con linda vista impecable muy bien equipado con todos los elementos para las mejores clases y emma es un genio. Gran profesor! Siempre es un gusto ir a sus clases!,Desde el 2008 mejorandole la calidad de vida a nuestros alumnxs.,,"Lunes a viernes de 7 a. m.–11 p. m.sábado, 8 a. m.–4 p. m. domingo, 9 a. m.–12 p. m.","CH7H+VG Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",31-07-25,Infobae les hizo un trabajo.,378.0,14.0,Norte,True,False,False,True,2,True,2,1,False
Hawa Fitness Pilates Studio,"Jerónimo Salguero 1495, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1163065030.0,,hawafitness,1275.0,4.8,,Del Río Pilates,,Hawa Fitness,2 semanas atrásNueva La profe Ale es amorosa! He ido a varios lugares previos a hacer pilates pero en ningún lugar me sentí tan cómoda y fue tan desafiante. Clases superpersonalizadas y disponibilidad horaria. Recomendado!,-,"TRX, pilates mat, hipopresivos, elongación,.Meditación sonora, yoga, aerofitness.","lunes, miércoles y viernes de 1–9 p. m. martes y jueves de 8 a. m.–9 p. m.","CH5J+5Q Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG web",31-07-25,Trabaja con niñas- danza,17.0,14.0,Norte,True,False,False,True,2,True,2,1,False
"@vyfpilates, Pilates","Nicaragua 6002, C1414BWN Cdad. Autónoma de Buenos Aires",Palermo,1158801522.0,,vyfpilates,843.0,5.0,,Studio Moderna,Básico.,,"Hace un añoSin dudas el mejor estudio de pilates clásico! Flor y su equipo son lo más! Son realmente buenas! Agradables, profesionales y excelentes profesoras. Te cuidan en cada movimiento. Las clases son muy dinamicas. Ir a este estudio es dedicarte unas horas semanales para desconectar, relajar y trabajar cuerpo y mente.","Soy Flor Pons, Bailarina e Instructora de Pilates Clásico. Evolución a través del movimiento.",,Lunes a viernes de 8 a. m.–9 p. m.,"CHC6+JV Buenos Aires, Cdad. Autónoma de Buenos Aires","Goole maps, IG",31-07-25,,19.0,14.0,Norte,True,False,False,False,1,True,2,1,False
Angel Pilates,"Vidt 1980, C1425DJH Cdad. Autónoma de Buenos Aires",Palermo,1161211905.0,,angelpilates,2741.0,5.0,,,Básico.,,"Hace un año: Excelente lugar! Voy hace un par de años. Calidad profesional y humana de 10. El lugar súper cómodo y limpio. Las clases son dinámicas y variadas. Revertí por completo las dolencias por mis hernias de disco. Tomo clases con Isadora, una genia!! Muy recomendable",-,,"lunes, miércoles y viernes de 8 a. m.–12 p. m., 3–9 p. m. martes, 8 a. m.–12 p. m., 5–9 p. m. jueves, 8 a. m.–12 p. m., 3–9 p. m. sábado, 10 a. m.–1 p. m.","CH6P+9C Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",31-0-25,El profe – dueño es un chico,101.0,14.0,Norte,True,False,False,False,1,True,2,0,False
Clic Pilates Palermo Soho,"Fray Justo Sta. María de Oro 2150, C1425 Cdad. Autónoma de Buenos Aires",Palermo,111554573847.0,,clic.pilates,14600.0,5.0,https://www.clicpilates.com/,,"Moderno. Iluminado, reformer modernos , de madera pero no clásicos. Paleta de colores grises, combinados con madera.",,"Hace un mesUn lugar hermoso excelente atención muy amable, la profesora muy buena muy atenta, muy cálido el ambiente!","En CLIC Studio Pilates, nos especializamos en Pilates Clásico, honrando la técnica original de Contrología de Joseph Pilates. Con movimientos precisos y controlados, buscamos una experiencia auténtica y transformadora, promoviendo equilibrio, alineación, fuerza y flexibilidad.",,"Lunes a viernes de 7:45 a. m.–12:45 p. m., 2–9 p. m.","CH8C+VW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, web, instagram",01-08-25,Franquicia con varias sedes: Pilar • Pilará • Escobar • Nordelta • Palermo Soho • Palermo Hollywood • Belgrano C. Ofrecen instructorado.,11.0,14.0,Norte,True,True,False,False,2,True,3,0,False
Palermo Pilates,"Darregueyra 2387, C1425 FLQ, Cdad. Autónoma de Buenos Aires",Palermo,111530588867.0,info@palermopilates.com,palermopilates,1222.0,4.9,http://palermopilates.com/,IDPil,"Moderno. Paleta de colores pastel: verde, turquesa, violeta.",,"Hace un mes: Muy buen lugar para hacer pilates. El espacio es lindo, limpio y tranquilo, ideal para concentrarse y relajarse. Las clases son muy buenas, guiadas y adaptadas a cada nivel. Se nota la dedicación de las profes. ¡Muy recomendable! Hace 2 meses: Durante mi estancia de 3 meses en Buenos Aires estuve acudiendo a Palermo Pilates. El sistema de reserva de clases a través de la app es muy cómo y con gran varidad de horarios. El equipo de profesores es muy amable y acogedor desde el primer momento. Sin duda disfruté mucho y volvería a repetir!",En nuestro estudio ahora podes tomar diversas clases combinándolas como quieras,,Lunes a viernes de 8 a. m.–10 p. m.,CH9G+F5 Cdad. Autónoma de Buenos Aires,Google maps Instagram web,01-08-25,"10 años. Ofrecen clases online. Redes muy orientativas, con mucha información. Profes de ambos géneros.",48.0,14.0,Norte,True,True,True,False,3,True,4,1,False
Centropilates BA Palermo,"Av. Sta. Fe 3312 8A, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1158644224.0,info@centropilatesba.com,centropilates_ba,54200.0,4.9,http://www.centropilatesba.com/,Studio Moderna,"Moderno, paleta de colores pastel beige, rosa pálido, verde, gris. Pared con  Iluminado,",,"Hace un mes: Hermoso lugar. Tomo las clases de Maru, muy buenas. La profe muy organizada y da clases muy completas. Me encantó y el lugar muy agradable y ciudado. Lo recomiendo. Hace un año: Empecé hace un mes y soy la más feliz, muy organizadas con el tema de horarios. Me encanta además que es muy limpio y las profesoras son dinámicas cada una a su manera","EL Método es un sistema de acondicionamiento no solo físico, sino también mental. Tomando el repertorio y fundamentos de Joseph Pilates, aplicamos modificaciones y variaciones para adaptar los ejercoicios a los diferentes niveles y necesidades. Te ofrecemos tres propuestas según tus objetivos.",,De Lunes a viernes de 9:00 a22:00. Sábado y Domingo de 8:00 a 21:00.,"CH6Q+Q7 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps Instagram, web",01-08-25,Tiene dos sedes Palermo y Núñez. Mucha información disponible en web y redes.,34.0,14.0,Norte,True,True,True,False,3,True,4,1,False
María Laura Studio,"Jerónimo Salguero 2142 Primer Piso, C1425 Cdad. Autónoma de Buenos Aires",Palermo,111535890631.0,,maria.laurastudio,793.0,4.6,,P&P,"Moderno, equipado, iluminado.",,"Hace 10 meses: Hermoso estudio! se nota que cuidan cada detalle con amor. Esta muy bien equipado y las profes son super profesionales y saben escuchar las necesidades de cada uno para trabajar de forma responsable y personalizada. La sala de yoga en un oasis de paz en medio de la ciudad. Super recomendable! Hace 10 meses: Cambió mucho, ahora hay destrato.","Nuestras clases están pensadas para todas las edades.Porque el movimiento consciente no tiene límites, y cada cuerpo puede beneficiarse del Pilates y el Yoga en cualquier etapa de la vida.",Yoga,De lunes a viernes de 8 a. m.–9 p. m.,"CH7Q+M5 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",01-08-25,"Capacitaciones con Auténtico pilates, San Pablo.",10.0,14.0,Norte,True,False,False,False,1,True,2,1,False
Corporal Centro De Bienestar Fisico,"Julián Álvarez 2672, C1425DHP Cdad. Autónoma de Buenos Aires",Palermo,111526337622.0,corporal.pilates@hotmail.com,corporal_cdbf,1085.0,5.0,https://corporalpilates.webnode.page/,FOX,"Básico. Equipado, iluminado.",,"Hace 10 meses:Ya estoy yendo al estudio hace un poco mas de 9 meses. Las clases son super dinámicas, cada instructora de pilates tiene su estilo y hacen que no solo sea un momento de conexion con el cuerpo sino un tiempo de calidad con una misma. Hace 11 meses: Buenísimas las clases de pilates! Todas las profesoras son amables y atentas, el clima es muy ameno. Sin dudas es un lugar para recomendar.",-,Pilates Reformer -Yoga-Personal Trainer-StretchingEntrenamiento funcional,"lunes,miércoles y viernes de 8 a. m. 21:00.","CH7P+RV Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps Instagram,01-08-25,,26.0,14.0,Norte,True,True,True,False,3,True,4,1,False
BG PILATES BARRIO NORTE,"Araóz, Juncal y, 1025 Cdad. Autónoma de Buenos Aires",Palermo,111524717556.0,,bg.pilatesintegral,174.0,5.0,,Studio Moderna,Básico.,,Hace 3 meses:Voy a clases con Betiana hace aprox 10 años porque la calidad de trabajo y conocimiento que tiene no lo encontré en ningún otro lado. Con ella aprendí muchísimo y le encontré el placer de hacer actividad física. Recomendadísimo!,-,,"Lunes y jueves 8 a. m.–12 p. m., 4–9 p. m. martes, miércoles y viernes 8 a. m.–12 a. m.","CH8P+9W Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",14-10-25,Lic. en Folklóre • Instructora de Pilates • Estudiante Lic. en Kinesiología,2.0,14.0,Norte,True,False,False,False,1,True,2,1,False
Espiralado,"Av. Raúl Scalabrini Ortiz 2831, C1425DBJ Cdad. Autónoma de Buenos Aires",Palermo,1151439165.0,,proyectoespiralado,1070.0,5.0,https://proyectoespiralado.wixsite.com/espiralado,,"Básico, tiene un reformer (clases personalizadas)",,"Hace 6 meses: Soy músico y mi trabajo me obliga a estar en posturas no tan cómodas durante largas horas seguidas. Gracias a Espiralado llevo adelante mi vida con un cuerpo sano, fuerte, flexible y sin dolores.Totalmente recomendado!","¡Hola, soy Eugenia Casabella! .Soy bailarina, coreógrafa y docente de danza. Me formé en ballet, danza contemporánea, preparación física, flexibilidad y stretching.","Danza. Entrenamiento físico , flexibilidad. Embarazo y postparto",De lunes a viernes de 9 a. m.–6 p. m.,"CH8P+PW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google map, web Instagram",01-08-25,Formación en Danza.,3.0,14.0,Norte,True,True,False,False,2,True,3,0,False
Oxzen Pilates,"Cabello 3224 Cabello 3767, Jerónimo Salguero 2686, C1425 Cdad. Autónoma de Buenos Aires",Palermo,111540240773.0,,oxzenpilates,50300.0,4.5,http://www.oxzen.com.ar/,Empower,"Moderno, equipos variados, nuevos, reformer clásicos y otros de metal. Colores beige, gris, fotos de Pilates en la pared. Equipamientos: Reformer, Wall Unit, Mat Profesional y Wunda Chair.",,"""Las clases son buenísimas, el espacio y clima Muy bueno, me siento cuidada!"".La secretaria que asigna los turnos terrible vieja resentida"". Las profes son muy responsables a la hora de enseñar!""","Contamos con 5 modalidades. REFORMER, STUDIO, MAT ONLINE, PERSONALIZADAS",,"De lunes a viernes 8 a. m.–9 p. m. Sábado, 10 a. m.–1 p. m.","CHCP+2X Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps Instagram,01-08-25,Redes activas y con información variada. Sede en Salguero 2686 y en Cabello 3224. Van muchos famosos a recibir clases,62.0,14.0,Norte,True,True,False,False,2,True,3,1,False
Mood Pilates Reformer,"Av. Raúl Scalabrini Ortiz 3162, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1169628078.0,,moodpilatesreformer,2488.0,4.6,,P&P,Básico,,"Hace un mes: Llevo varios años en Mood y no lo cambiaría por nada! Es un excelente lugar para ejercitarte y desafiar tus propios límites. Las profesoras son muy dedicadas y detallistas, lo que le permite a uno ir aprendiendo y mejorando su técnica. Gracias especialmente a Eli, Jenny y Shir",,,"De Lunes a jueves de 9 a. m.–8 p. m. viernes, 9 a. m.–7 p. m. sábado, 10 a. m.–1 p. m.","CH9Q+VW Buenos Aires, Cdad. Autónoma de Buenos Aires",Google maps instagram,01-08-25,,33.0,14.0,Norte,True,False,False,False,1,True,2,1,False
Palace Pilates,"Cabello 3627, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1166416619.0,,palacepilates1,918.0,4.4,,Armonía,"Básico. Reformer clásicos,pesas, pelotas rojas, azules y grises.",,"Hace 8 meses: Me encanta hacer pilates acá. Además del espacio que es perfecto, la profe Giselle es una querida y muy competente. Re recomiendo!",-,,"Lun a vie de 8 a 20hs, sáb 9 a 13hs","CH9Q+QM Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",14-10-25,,7.0,14.0,Norte,True,False,False,False,1,True,2,1,False
Pilates INtegral,"Aráoz 2055 pb, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1155126311.0,,integralpilatesok,1050.0,4.8,https://www.pilatesintegral.net/,,Básico.,,"Hace 7 meses: Recomiendo el espacio y las profes. El entrenamiento es a medida, tenés una profe para un máximo de 3 personas que van a adaptar la disciplina a tus necesidades, tus lesiones y tus objetivos. Las clases son excelentes. Arranqué hace algunos meses y además de sentir el trabajo físico, también estoy mejorando mi postura en el día a día.",,,Lunes a viernes de 8 a. m.–9 p. m,"CH6J+F4 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",01-08-25,Clases presenciales y online,25.0,14.0,Norte,True,True,False,False,2,True,3,0,False
Body Fit - Pilates Contemporaneo,"Beruti 4583 3ero A, C1425 Cdad. Autónoma de Buenos Aires",Palermo,111531467162.0,,bodyfitpilatesok,5044.0,5.0,,P&P,"Amplio, equipado, pelotas, aros en tonalidades grises, azules, pesas rojas y amarillas.",,"Hace 7 meses: Excelente centro de Pilates. Paula y su equipo son muy comprometidos y atentos con sus alumnos. Eso es un plus! Además, el grupo humano es excepcional.",21 años de experiencia en bienestar. Pilates para embarazadas. Clases adaptadas para adultos mayores.Unisex/Personalizado,,"Lunes, martes, miércoles y viernes de 8 a. m.–9 p. m. jueves, 8 a. m.–10 p. m.sábado, 9 a. m.–1 p. m.","CHCG+W9 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, Ig",01-08-25,,78.0,14.0,Norte,True,False,False,False,1,True,2,1,False
Pilates BARAKA,"Amenábar 80, C1426 Cdad. Autónoma de Buenos Aires",Colegiales,1164695997.0,,pilates.baraka,72.0,4.4,,,Básico,,Hace un mes: No recomendado. No respeta el horario por el que se le pago. Te cambia por el horario que ella puede,,,"Lunes a viernes de 10 a. m.–9 p. m. sábado, 11 a. m.–7 p. m.","CHF6+55 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",15-09-25,IG se unió en agosto 2025,7.0,13.0,Norte,True,False,False,False,1,True,2,0,False
Clic Pilates Palermo Hollywood,"Av. Dorrego 1789, C1414 Cdad. Autónoma de Buenos Aires",Palermo,111532849318.0,,,,5.0,https://www.clicpilates.com/,,,,,,,"lunes, miércoles y viernes de 7:45–10:45 a. m., 2–5 p. m. martes y jueves 7:45–11:45 a. m., 4–9 p. m.","CH95+H2 Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",15-09-25,"Franquicias: Pilar, Pilará, Escobar, Nordelta, Palermo Soho, Palermo Hollywood, Belgrano C y Olivos",8.0,14.0,Norte,False,True,False,False,1,True,2,0,False
Lotuszen Pilates,"Arévalo 1736 5g, C1425 Cdad. Autónoma de Buenos Aires",Palermo,1139174465.0,,lotuszenpilates,775.0,4.8,,Del Río Pilates,Tonalidades beige (reformer) y amarillo- dorado (cartel-logo). Armonioso.,,"Hace un año: Es un lugar muy lindo, las chicas son amables y atentas. Espacio y ambiente perfecto para las rutinas. Las clases son personalizadas y eso me gusta.",,,Lunes a viernes de 8 a. m.–9 p. m,"CH95+QW Buenos Aires, Cdad. Autónoma de Buenos Aires","Google maps, IG",15-09-25,,28.0,14.0,Norte,True,False,False,False,1,True,2,1,False
